nirf_id,program_level,intake_year,first_year_intake,first_year_admitted,lateral_entry_year,lateral_entry_count,graduating_year,graduating_min_time,students_placed,median_salary,students_higher_studies
IR-E-C-37004,PG,2022-23,66,19,,,2023-24,11,11,385000,0
IR-E-C-36930,UG,2018-19,840,541,2019-20,20,2021-22,521,449,360000,36
IR-E-C-36930,UG,2019-20,870,661,2020-21,30,2022-23,544,515,410000,29
IR-E-C-36930,UG,2020-21,810,612,2021-22,124,2023-24,528,505,440000,21
IR-E-C-36930,PG,2020-21,63,53,,,2021-22,50,5,400000,2
IR-E-C-36930,PG,2021-22,292,262,,,2022-23,243,6,415000,3
IR-E-C-36930,PG,2022-23,420,358,,,2023-24,277,8,420000,2
IR-E-C-36930,PG,2017-18,0,0,,,2021-22,0,0,0,0
IR-E-C-36930,PG,2018-19,0,0,,,2022-23,0,0,0,0
IR-E-C-36930,PG,2019-20,0,0,,,2023-24,0,0,0,0
IR-E-C-36970,UG,2016-17,660,682,2017-18,64,2019-20,642,458,150000,14
IR-E-C-36970,UG,2017-18,540,560,2018-19,41,2020-21,518,347,150000,34
IR-E-C-36970,UG,2018-19,540,528,2019-20,13,2021-22,469,342,180000,32
IR-E-C-36970,PG,2018-19,225,145,,,2019-20,21,0,0,1
IR-E-C-36970,PG,2019-20,225,80,,,2020-21,35,0,0,0
IR-E-C-36970,PG,2020-21,225,81,,,2021-22,60,0,0,0
IR-E-C-37026,UG,2018-19,540,256,2019-20,28,2021-22,214,200,250000,2
IR-E-C-37026,UG,2019-20,510,127,2020-21,19,2022-23,102,92,250000,2
IR-E-C-37026,UG,2020-21,330,194,2021-22,20,2023-24,203,190,300000,2
IR-E-C-37026,PG,2020-21,24,1,,,2021-22,1,0,0,0
IR-E-C-37026,PG,2021-22,24,2,,,2022-23,2,0,0,0
IR-E-C-37026,PG,2022-23,24,0,,,2023-24,0,0,0,0
IR-E-C-37061,UG,2018-19,540,191,2019-20,20,2021-22,171,100,320000,10
IR-E-C-37061,UG,2019-20,510,239,2020-21,26,2022-23,154,146,340000,8
IR-E-C-37061,UG,2020-21,480,202,2021-22,63,2023-24,220,190,380000,14
IR-E-C-37061,PG,2020-21,108,21,,,2021-22,20,5,380000,0
IR-E-C-37061,PG,2021-22,54,14,,,2022-23,8,5,380000,0
IR-E-C-37061,PG,2022-23,54,50,,,2023-24,50,48,420000,2
IR-E-C-37076,UG,2018-19,300,275,2019-20,9,2021-22,166,157,360000,9
IR-E-C-37076,UG,2019-20,300,148,2020-21,4,2022-23,133,116,288000,3
IR-E-C-37076,UG,2020-21,300,155,2021-22,9,2023-24,109,102,300000,7
IR-E-C-37076,PG,2020-21,36,10,,,2021-22,10,1,260000,0
IR-E-C-37076,PG,2021-22,36,34,,,2022-23,21,1,180000,0
IR-E-C-37076,PG,2022-23,36,27,,,2023-24,6,5,260000,0
IR-E-C-37029,UG,2018-19,360,247,2019-20,6,2021-22,168,138,300000,12
IR-E-C-37029,UG,2019-20,360,53,2020-21,16,2022-23,51,46,324000,5
IR-E-C-37029,UG,2020-21,360,175,2021-22,43,2023-24,166,157,360000,5
IR-E-C-37029,PG,2020-21,84,31,,,2021-22,31,31,330000,0
IR-E-C-37029,PG,2021-22,84,77,,,2022-23,28,28,400000,0
IR-E-C-37029,PG,2022-23,108,36,,,2023-24,34,34,360000,0
IR-E-C-36941,UG,2018-19,360,207,2019-20,8,2021-22,146,136,200000,10
IR-E-C-36941,UG,2019-20,300,227,2020-21,7,2022-23,137,130,200000,7
IR-E-C-36941,UG,2020-21,300,131,2021-22,50,2023-24,66,63,400000,3
