id,counselling_code,branch,year,oc,bc,bcm,mbc,sc,sca,st
250,1217,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"133,142",—,—,—,—,—,—
251,1217,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"85,016","132,443","124,700*","90,717","118,239*",—,—
252,1217,FOOD TECHNOLOGY,2021,"81,269","130,897*",—,—,"107,302",—,—
253,1217,MECHANICAL AND AUTOMATION ENGINEERING,2021,"117,127*",—,—,—,—,—,—
254,1217,MECHANICAL ENGINEERING (SANDWICH),2021,"96,211*",—,—,—,—,—,—
255,1218,Artificial Intelligence and Data Science,2021,"80,788","92,755","84,593","97,394","132,216*",—,—
256,1218,BIO MEDICAL ENGINEERING,2021,"115,819","133,991*",—,—,"130,672*",—,—
257,1218,CIVIL ENGINEERING,2021,"82,392*",—,—,—,—,—,—
258,1218,COMPUTER SCIENCE AND ENGINEERING,2021,"53,635","75,327","79,522","99,048","136,896*",—,—
259,1218,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"126,622*",—,—,—,—,—,—
260,1218,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"108,846","127,425*",—,—,—,—,—
261,1218,INFORMATION TECHNOLOGY,2021,"70,153","83,496","88,114","103,860","125,793*",—,—
262,1218,MECHANICAL ENGINEERING,2021,"136,968*",—,—,—,—,—,—
263,1218,Mechatronics Engineering,2021,"134,468",—,—,—,—,—,—
264,1218,PHARMACEUTICAL TECHNOLOGY,2021,"57,195","120,699*",—,—,"65,674*",—,—
265,1218,ROBOTICS AND AUTOMATION,2021,"132,820*",—,—,—,—,—,—
266,1219,AUTOMOBILE ENGINEERING,2021,"27,800","38,207","39,017",—,"98,301",—,—
267,1219,Artificial Intelligence and Data Science,2021,"3,990","5,152","4,116","4,467","30,391","77,694",—
268,1219,BIO TECHNOLOGY,2021,"4,758","8,989","10,996","9,339","48,063",—,—
269,1219,CHEMICAL ENGINEERING,2021,"19,693","33,693","21,926","33,711","85,883","133,973*",—
270,1219,CIVIL ENGINEERING,2021,"22,854","32,203","36,106",—,"59,024",—,—
