nirf_id,program_level,program_duration,academic_year,sanctioned_intake
IR-E-C-37015,UG,4 Years,2021-22,900
IR-E-C-37015,UG,4 Years,2020-21,990
IR-E-C-37015,PG,2 Years,2023-24,66
IR-E-C-37015,PG,2 Years,2022-23,66
IR-E-C-37089,UG,4 Years,2023-24,990
IR-E-C-37089,UG,4 Years,2022-23,990
IR-E-C-37089,UG,4 Years,2021-22,990
IR-E-C-37089,UG,4 Years,2020-21,1080
IR-E-C-37089,PG,2 Years,2023-24,36
IR-E-C-37089,PG,2 Years,2022-23,42
IR-E-C-37094,UG,4 Years,2023-24,870
IR-E-C-37094,UG,4 Years,2022-23,840
IR-E-C-37094,UG,4 Years,2021-22,780
IR-E-C-37094,UG,4 Years,2020-21,780
IR-E-C-37094,PG,2 Years,2023-24,36
IR-E-C-37094,PG,2 Years,2022-23,75
IR-E-C-37032,UG,4 Years,2023-24,360
IR-E-C-37032,UG,4 Years,2022-23,360
IR-E-C-37032,UG,4 Years,2021-22,360
IR-E-C-37032,UG,4 Years,2020-21,540
IR-E-C-37032,PG,2 Years,2023-24,27
IR-E-C-37032,PG,2 Years,2022-23,27
IR-E-C-36947,UG,4 Years,2023-24,1020
IR-E-C-36947,UG,4 Years,2022-23,1020
IR-E-C-36947,UG,4 Years,2021-22,990
IR-E-C-36947,UG,4 Years,2020-21,930
IR-E-C-36947,PG,2 Years,2023-24,24
IR-E-C-36947,PG,2 Years,2022-23,24
IR-E-C-37080,UG,4 Years,2023-24,1320
IR-E-C-37080,UG,4 Years,2022-23,1080
IR-E-C-37080,UG,4 Years,2021-22,900
IR-E-C-37080,UG,4 Years,2020-21,930
IR-E-C-37080,PG,2 Years,2023-24,90
IR-E-C-37080,PG,2 Years,2022-23,90
IR-E-C-36938,UG,4 Years,2023-24,360
IR-E-C-36938,UG,4 Years,2022-23,300
IR-E-C-36938,UG,4 Years,2021-22,300
IR-E-C-36938,UG,4 Years,2020-21,300
IR-E-C-36938,PG,2 Years,2023-24,59
IR-E-C-36938,PG,2 Years,2022-23,68
IR-E-C-37031,UG,4 Years,2022-23,300
IR-E-C-37031,UG,4 Years,2021-22,300
IR-E-C-37031,UG,4 Years,2020-21,360
IR-E-C-37031,UG,4 Years,2019-20,360
IR-E-C-37031,PG,2 Years,2022-23,87
IR-E-C-37031,PG,2 Years,2021-22,87
IR-E-C-37036,UG,4 Years,2023-24,660
IR-E-C-37036,UG,4 Years,2022-23,660
IR-E-C-37036,UG,4 Years,2021-22,600
IR-E-C-37036,UG,4 Years,2020-21,600
IR-E-C-37036,PG,2 Years,2023-24,12
IR-E-C-37036,PG,2 Years,2022-23,12
IR-E-C-37035,UG,4 Years,2023-24,540
IR-E-C-37035,UG,4 Years,2022-23,420
IR-E-C-37035,UG,4 Years,2021-22,420
IR-E-C-37035,UG,4 Years,2020-21,420
IR-E-C-36929,UG,4 Years,2023-24,750
IR-E-C-36929,UG,4 Years,2022-23,630
IR-E-C-36929,UG,4 Years,2021-22,630
IR-E-C-36929,UG,4 Years,2020-21,600
IR-E-C-36929,PG,2 Years,2023-24,27
IR-E-C-36929,PG,2 Years,2022-23,27
IR-E-C-37057,UG,4 Years,2023-24,840
